kbopID,playerID,yearID,stint,lgID,teamID,G,CG,SHO,W,L,SV,HLD,WPCT,BFP,IPouts,H,HR,BB,HBP,SO,R,ER,ERA
4558,78760,2015,1,KBO,Hanwha,51,0,0,1,1,0,2,0.5,162,108,44,4,14,5,12,21,19,4.75
4559,78760,2016,1,KBO,Hanwha,36,0,0,1,0,0,0,1,171,121,47,3,10,1,26,24,21,4.89
4560,78819,2013,1,KBO,SK,19,0,0,5,5,0,0,0.5,390,276,85,5,36,8,50,40,36,3.55
4561,78819,2014,1,KBO,SK,6,0,0,0,1,0,0,0,57,30,22,3,7,3,3,19,19,18.32
4562,78819,2015,1,KBO,SK,7,0,0,1,2,0,0,0.333,94,67,24,2,11,2,14,13,11,4.79
4563,78819,2017,1,KBO,SK,11,0,0,0,0,2,2,-,74,61,15,0,5,4,10,5,5,2.41
4564,78819,2018,1,KBO,SK,18,0,0,1,2,0,1,0.333,72,45,17,4,9,3,14,15,15,9.42
4565,78819,2019,1,KBO,SK,5,0,0,0,0,1,1,-,20,12,7,0,1,0,4,3,3,6.75
4566,78819,2020,1,KBO,LG,2,0,0,0,0,0,0,-,8,6,4,1,0,0,0,3,3,20.25
4567,78823,2008,1,KBO,SK,1,0,0,0,0,0,0,-,7,3,2,0,1,1,2,1,1,9
4568,78823,2012,1,KBO,SK,4,0,0,0,0,0,0,-,14,9,4,0,1,0,3,0,0,0
4569,78823,2013,1,KBO,SK,13,0,0,1,0,0,0,1,27,21,6,0,2,0,1,2,2,2.84
4570,78823,2014,1,KBO,KIA,1,0,0,0,0,0,0,-,2,0,0,0,1,0,0,0,0,-
4571,78823,2015,1,KBO,KIA,6,0,0,0,0,0,0,-,20,15,6,0,2,0,1,2,1,2.08
4572,78843,2008,1,KBO,SK,1,0,0,0,0,0,0,-,1,1,0,0,0,0,0,0,0,0
4573,78843,2009,1,KBO,SK,16,0,0,1,1,0,0,0.5,79,57,15,1,10,0,14,4,3,1.42
