npbpID,playerID,yearID,stint,lgID,teamID,POS,G,W,L,SV,HLD,HP,CG,SHO,WL_pct,BFP,IPouts,H,HR,BB,HBP,SO,WP,BK,R,ER,ERA,GS,K_pct,BB_pct,HR_pct,BABIP,LOB%,IBB,RA-,FIP-,RA9_WAR,WAR
155,100072,1940,1,JBL,KINKO,UC,41,4,10,,,,7,0,0.286,843,546,135,3,160,6,96,1,1,95,75,3.71,30,0.114,0.19,0.004,0.236,0.694,,153,135,-2.3,-0.8
156,100072,1941,1,JBL,ASAHI,UC,6,0,1,,,,0,0,0,64,32,18,1,15,2,6,0,0,10,10,8.44,4,0.094,0.234,0.016,0.425,0.744,,331,214,-0.8,-0.4
157,100072,1942,1,JBL,ASAHI,UC,24,5,10,,,,12,2,0.333,633,460,80,1,112,3,86,1,0,36,26,1.53,19,0.136,0.177,0.002,0.189,0.821,,84,119,2.6,0.4
158,100072,1943,1,JBL,ASAHI,UC,29,8,12,,,,16,4,0.4,824,599,135,0,105,1,97,0,0,66,50,2.25,24,0.118,0.127,0,0.222,0.726,,114,90,0.7,3.1
159,100072,1944,1,JBL,ASAHI,UC,29,11,11,,,,21,4,0.5,980,667,183,0,136,1,109,2,0,78,52,2.1,24,0.111,0.139,0,0.256,0.756,,93,99,3,2.7
160,100072,1946,1,JBL,GOLD STAR,UC,57,19,25,,,,38,4,0.432,1776,1248,380,12,162,4,192,2,0,175,134,2.9,48,0.108,0.091,0.007,0.265,0.701,,86,88,7.5,7.5
161,100072,1947,1,JBL,KINSEI,UC,38,12,14,,,,16,6,0.462,1077,764,224,6,101,2,96,1,0,103,81,2.86,28,0.089,0.094,0.006,0.253,0.703,,112,96,1.3,3.5
162,100072,1948,1,JBL,KINSEI,UC,21,7,11,,,,14,2,0.389,651,482,145,10,37,1,30,0,0,62,48,2.69,19,0.046,0.057,0.015,0.238,0.716,,99,109,1.9,1.1
163,100072,1949,1,JBL,HANKYU,UC,37,7,14,,,,8,1,0.333,807,568,220,23,35,1,65,0,0,117,102,4.85,26,0.081,0.043,0.029,0.291,0.621,,115,99,0.6,2.3
164,100072,1950,1,CL,HIROSHIMA,UC,41,11,19,,,,12,0,0.367,997,649,276,23,79,4,78,3,0,166,133,5.53,36,0.078,0.079,0.023,0.315,0.591,,137,101,-1.6,2.6
