playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
100009,1936,2,JBL,Hankyu,SS,22.0,45.0,84.0,5.0,11.0,,0.963,5.864
100009,1937,1,JBL,Hankyu,2B,1.0,0.0,0.0,0.0,0.0,,,0.0
100009,1937,1,JBL,Hankyu,3B,73.0,85.0,225.0,19.0,18.0,,0.942,4.247
100009,1937,1,JBL,Hankyu,SS,33.0,52.0,101.0,8.0,17.0,,0.95,4.636
100009,1938,1,JBL,Hankyu,2B,1.0,0.0,0.0,0.0,0.0,,,0.0
100009,1938,1,JBL,Hankyu,3B,75.0,99.0,206.0,19.0,23.0,,0.941,4.067
100009,1938,1,JBL,Hankyu,SS,1.0,1.0,1.0,0.0,0.0,,1.0,2.0
100009,1939,1,JBL,Hankyu,2B,10.0,29.0,20.0,0.0,5.0,,1.0,4.9
100009,1939,1,JBL,Hankyu,3B,63.0,66.0,162.0,13.0,10.0,,0.946,3.619
100009,1939,1,JBL,Hankyu,SS,3.0,2.0,10.0,1.0,1.0,,0.923,4.0
100009,1940,1,JBL,Hankyu,2B,16.0,47.0,37.0,4.0,16.0,,0.955,5.25
100009,1940,1,JBL,Hankyu,3B,87.0,90.0,277.0,31.0,21.0,,0.922,4.218
100009,1940,1,JBL,Hankyu,OF,6.0,9.0,3.0,0.0,2.0,,1.0,2.0
100009,1940,1,JBL,Hankyu,P,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
100009,1940,1,JBL,Hankyu,SS,1.0,1.0,3.0,0.0,0.0,,1.0,4.0
100009,1941,1,JBL,Hankyu,3B,84.0,85.0,279.0,20.0,23.0,,0.948,4.333
100009,1941,1,JBL,Hankyu,SS,1.0,0.0,0.0,0.0,0.0,,,0.0
100009,1942,1,JBL,Hankyu,2B,1.0,0.0,1.0,0.0,0.0,,1.0,1.0
100009,1942,1,JBL,Hankyu,3B,100.0,119.0,357.0,25.0,43.0,,0.95,4.76
100009,1942,1,JBL,Hankyu,SS,11.0,26.0,26.0,4.0,6.0,,0.929,4.727
100010,1936,1,JBL,Nagoya,2B,17.0,69.0,37.0,4.0,11.0,,0.964,6.235
100010,1936,1,JBL,Nagoya,SS,24.0,26.0,31.0,7.0,5.0,,0.891,2.375
100010,1937,1,JBL,Korakuen,2B,64.0,199.0,161.0,18.0,46.0,,0.952,5.625
100010,1937,1,JBL,Korakuen,3B,8.0,0.0,8.0,0.0,0.0,,1.0,1.0
100010,1937,1,JBL,Korakuen,SS,51.0,92.0,164.0,40.0,25.0,,0.865,5.02
100010,1940,1,JBL,Kurowashi,1B,3.0,33.0,1.0,0.0,1.0,,1.0,11.333
100010,1940,1,JBL,Kurowashi,2B,5.0,9.0,16.0,2.0,3.0,,0.926,5.0
100010,1941,1,JBL,Kurowashi,1B,8.0,76.0,1.0,1.0,4.0,,0.987,9.625
100010,1941,1,JBL,Kurowashi,2B,18.0,43.0,35.0,7.0,13.0,,0.918,4.333
100010,1941,1,JBL,Kurowashi,3B,5.0,3.0,20.0,0.0,2.0,,1.0,4.6
100010,1941,1,JBL,Kurowashi,SS,7.0,19.0,21.0,2.0,3.0,,0.952,5.714
