playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,weight,height,bats,throws
50709,2001,7,27,South Korea,Park,Jeong-Hyeon,Jeong-Hyeon Park,183,72,R,R
50711,2001,7,7,South Korea,Kim,Seung-Il,Seung-Il Kim,187,72,R,R
50720,2001,2,12,South Korea,Nam,Ji-Min,Ji-Min Nam,220,71,R,R
50726,2001,3,17,South Korea,Han,Seung-Ju,Seung-Ju Han,187,72,R,R
50730,1986,5,15,United States,Barnes,Brandon,Brandon Barnes,209,74,R,R
50758,2001,6,12,South Korea,Shin,Ji-Hu,Ji-Hu Shin,247,78,R,R
50802,1990,10,29,United States,White,Tyler,Tyler White,0,0,R,R
50812,2001,5,10,South Korea,Park,Si-Hu,Si-Hu Park,194,72,L,L
50813,1997,4,15,South Korea,Yang,Seon-Ryul,Seon-Ryul Yang,201,73,R,R
50815,1991,11,8,United States,Kingham,Nick,Nick Kingham,234,77,R,R
50819,1997,6,15,South Korea,Lee,Geo-Yeon,Geo-Yeon Lee,203,73,R,R
50820,2000,11,25,South Korea,Jeon,Ui-San,Ui-San Jeon,231,74,L,R
50835,1994,1,20,Venezuela,Pinto,Ricardo,Ricardo Pinto,194,72,R,R
50840,2001,7,8,South Korea,Hyeon,Won-Hoe,Won-Hoe Hyeon,209,71,R,R
50848,2001,4,30,South Korea,Kim,Seong-Min,Seong-Min Kim,194,72,R,R
50854,1997,7,23,South Korea,Choi,Ji-Hun,Ji-Hun Choi,181,70,L,R
50859,2001,4,23,South Korea,Oh,Won-Seok,Won-Seok Oh,176,72,L,L
50868,1996,7,16,South Korea,Ryu,Hyo-Seung,Hyo-Seung Ryu,220,75,R,R
50900,2001,9,15,South Korea,Lim,Hyeong-Won,Hyeong-Won Lim,161,72,R,R
50901,2001,2,27,South Korea,An,In-San,In-San An,209,71,R,R
50902,2001,1,18,South Korea,Kim,Han-Byeol,Han-Byeol Kim,187,70,R,R
50903,2001,10,19,South Korea,Han,Jae-Hwan,Jae-Hwan Han,196,70,R,R
50904,2001,3,9,South Korea,Lee,Jong-Jun,Jong-Jun Lee,205,75,R,R
50905,2001,7,26,South Korea,Kang,Tae-Gyeong,Tae-Gyeong Kang,209,74,L,R
50906,1997,7,16,South Korea,Park,Yeong-Bin,Yeong-Bin Park,194,72,L,R
50912,1990,1,3,United States,Wright,Mike,Mike Wright,214,78,R,R
50923,1991,1,14,United States,Altherr,Aaron,Aaron Altherr,214,77,R,R
50992,2001,4,7,South Korea,Kim,Tae-Gyeong,Tae-Gyeong Kim,209,74,R,R
50995,2000,6,16,South Korea,Jung,Gu-Beom,Gu-Beom Jung,157,72,L,L
50996,2001,5,30,South Korea,Park,Si-Won,Si-Won Park,187,73,L,R
51003,1998,9,12,South Korea,Kwon,Dong-Jin,Dong-Jin Kwon,183,70,L,R
51004,1989,6,10,D.R,Almonte,Zoilo,Zoilo Almonte,203,72,R,R
51005,1996,7,12,South Korea,Kim,Geon-Hyeong,Geon-Hyeong Kim,183,72,L,R
51007,2002,7,5,South Korea,Choi,Seong-Min,Seong-Min Choi,185,70,L,L
51009,1998,4,30,South Korea,Jeon,Jin-Yeong,Jin-Yeong Jeon,170,70,L,R
51013,2002,8,16,South Korea,Yoo,Jun-Gyu,Jun-Gyu Yoo,152,69,L,R
51058,1998,11,30,South Korea,Han,Cha-Hyeon,Cha-Hyeon Han,176,71,R,R
51060,2002,2,15,South Korea,Ji,Myeong-Seong,Myeong-Seong Ji,143,68,R,R
51097,2002,8,18,South Korea,Kim,Yeong-Hyeon,Yeong-Hyeon Kim,183,70,R,R
51100,2002,6,17,South Korea,Lee,Yeong-Bin,Yeong-Bin Lee,181,72,L,R
51110,2000,7,18,South Korea,Lee,Mit-Eum,Mit-Eum Lee,176,74,R,R
51111,2002,4,10,South Korea,Song,Seung-Gi,Seung-Gi Song,198,71,L,L
51136,1992,9,11,United States,Suarez,Andrew,Andrew Suarez,194,73,L,L
51143,2002,10,14,South Korea,Kang,Hyo-Jong,Hyo-Jong Kang,185,72,R,R
51144,1988,5,28,United States,Bour,Justin,Justin Bour,0,0,L,R
51154,1998,8,31,South Korea,Kim,Jin-Su,Jin-Su Kim,181,70,R,R
51203,2002,2,15,South Korea,An,Jae-Seok,Jae-Seok An,165,73,L,R
51230,2002,2,14,South Korea,Kim,Dong-Ju,Dong-Ju Kim,203,75,R,R
51234,1994,5,3,United States,Lockett,Walker,Walker Lockett,225,77,R,R
51257,1989,1,10,Cuba,Miranda,Ariel,Ariel Miranda,190,74,L,L
51264,2001,5,11,South Korea,Choi,Seung-Yong,Seung-Yong Choi,192,75,L,L
51269,2002,6,16,South Korea,Kang,Hyeon-Gu,Hyeon-Gu Kang,216,73,R,R
51294,2002,6,28,South Korea,Kim,Do-Yun,Do-Yun Kim,183,71,L,R
51298,2002,11,18,South Korea,Park,Seong-Jae,Seong-Jae Park,216,73,R,R
51301,1997,11,14,South Korea,Kim,Seong-Jin,Seong-Jin Kim,170,72,L,R
51302,2002,7,5,South Korea,Lee,Ju-Hyeong,Ju-Hyeong Lee,231,72,L,L
51303,2001,10,31,South Korea,Kim,Si-Ang,Si-Ang Kim,185,70,R,R
51307,1998,12,17,South Korea,Lee,Jae-Hong,Jae-Hong Lee,154,67,R,R
51309,1994,11,16,United States,Craig,Will,Will Craig,231,75,R,R
51324,1989,3,18,United States,Freitas,David,David Freitas,254,74,R,R
51334,1987,8,7,United States,Smith,Josh,Josh Smith,209,74,R,R
51344,2002,1,1,South Korea,Kim,Hwi-Jip,Hwi-Jip Kim,203,71,R,R
51359,2002,5,10,South Korea,Jang,Jae-Yeong,Jae-Yeong Jang,183,74,R,R
51393,2002,7,12,South Korea,Kim,Jun-Hyeong,Jun-Hyeong Kim,201,72,R,R
51403,1996,12,18,South Korea,Kim,Dong-Jin,Dong-Jin Kim,185,72,L,R
51407,1999,6,3,South Korea,Lee,Chang-Yong,Chang-Yong Lee,196,72,R,R
51417,2002,10,11,South Korea,Kim,Hyeon-Jun,Hyeon-Jun Kim,172,70,L,L
51439,1989,7,1,United States,Montgomery,Mike,Mike Montgomery,218,77,L,L
51454,2002,5,19,South Korea,Lee,Seung-Hyeon,Seung-Hyeon Lee,225,72,L,L
51460,2001,10,11,South Korea,Lee,Jae-Hui,Jae-Hui Lee,220,74,L,R
51463,1989,11,21,Venezuela,Pirela,Jose,Jose Pirela,218,72,R,R
51516,2002,7,5,South Korea,Kim,Jin-Uk,Jin-Uk Kim,198,73,L,L
51526,2002,10,3,South Korea,Woo,Gang-Hun,Gang-Hun Woo,194,72,R,R
51528,2002,1,14,South Korea,Son,Seong-Bin,Seong-Bin Son,203,73,R,R
51546,2000,3,17,South Korea,Jung,U-Jun,U-Jun Jung,181,71,R,R
51551,2002,2,15,South Korea,Na,Seung-Yeop,Seung-Yeop Na,181,75,L,R
51560,1998,9,21,South Korea,Lee,Ju-Chan,Ju-Chan Lee,190,71,R,R
51567,1992,12,29,Venezuela,Franco,Enderson,Enderson Franco,238,74,R,R
51574,1998,10,12,South Korea,Choi,Jong-Eun,Jong-Eun Choi,181,70,L,R
51586,2001,11,9,South Korea,Kim,Chang-Hun,Chang-Hun Kim,216,73,R,R
51594,2002,6,20,South Korea,Song,Jae-Yeong,Jae-Yeong Song,185,71,L,L
51604,2001,1,18,South Korea,Kim,Seon-U,Seon-U Kim,198,69,R,R
51619,1993,2,19,United States,Mengden,Daniel,Daniel Mengden,205,73,R,R
51636,1997,1,23,Brazil,Takahashi,Bo,Bo Takahashi,225,72,R,R
51640,2002,1,23,South Korea,Kwon,Da-Gyeol,Da-Gyeol Kwon,207,74,R,R
51645,1998,6,3,South Korea,Park,Geon-U,Geon-U Park,214,76,R,R
51648,2002,6,16,South Korea,Lee,Ui-Ri,Ui-Ri Lee,198,73,L,L
51665,2001,12,30,South Korea,Jang,Min-Gi,Min-Gi Jang,194,72,L,L
51668,2000,10,4,South Korea,Lee,Seung-Jae,Seung-Jae Lee,181,72,R,R
51701,2002,9,10,South Korea,Cho,Hyeon-Jin,Hyeon-Jin Cho,152,72,L,R
51706,1998,7,4,South Korea,Jang,Ji-Seung,Ji-Seung Jang,207,73,R,R
51713,2002,8,23,South Korea,Kim,Gyu-Yeon,Gyu-Yeon Kim,201,72,R,R
51714,1991,3,26,Venezuela,Perez,Hernan,Hernan Perez,0,0,R,R
51715,2002,11,16,South Korea,Kim,Gi-Jung,Gi-Jung Kim,212,73,L,L
51722,1990,8,22,United States,Carpenter,Ryan,Ryan Carpenter,229,77,L,L
51725,1992,1,10,United States,Healy,Ryon,Ryon Healy,229,77,R,R
51761,1998,3,16,South Korea,Bae,Dong-Hyeon,Dong-Hyeon Bae,183,72,L,R
51762,2002,6,28,South Korea,Jang,Gyu-Hyeon,Gyu-Hyeon Jang,212,72,L,R
51764,2003,1,10,South Korea,Jung,Min-Gyu,Min-Gyu Jung,223,72,R,R
51767,2002,3,10,South Korea,Song,Ho-Jeong,Ho-Jeong Song,172,73,L,R
51803,2001,6,28,South Korea,Park,Hyeong-Jun,Hyeong-Jun Park,231,72,R,R
51809,2000,1,6,South Korea,Cho,Yo-Han,Yo-Han Cho,225,75,R,R
51817,1982,7,13,South Korea,Choo,Shin-Soo,Shin-Soo Choo,214,71,L,L
51833,1990,5,22,United States,Gaviglio,Sam,Sam Gaviglio,216,73,R,R
51834,1992,4,8,United States,Rutckyj,Evan,Evan Rutckyj,194,75,R,R
51863,1990,5,24,Venezuela,Font,Wilmer,Wilmer Font,249,76,R,R
51865,2002,4,4,South Korea,Cho,Hyeong-U,Hyeong-U Cho,209,74,R,R
51867,2002,7,12,South Korea,Kim,Geon-U,Geon-U Kim,194,73,L,L
51868,2002,7,8,South Korea,Ko,Myeong-Jun,Myeong-Jun Ko,207,73,R,R
51895,1998,12,6,South Korea,Jang,Ji-Hun,Ji-Hun Jang,172,70,R,R
51897,2002,5,8,South Korea,Cho,Byeong-Hyeon,Byeong-Hyeon Cho,198,72,R,R
51907,2002,7,30,South Korea,Kim,Ju-Won,Ju-Won Kim,183,73,R,R
51948,2002,5,8,South Korea,Lee,Yong-Jun,Yong-Jun Lee,209,71,R,R
51967,1992,9,6,United States,Parsons,Wes,Wes Parsons,205,77,R,R
51991,2002,5,20,South Korea,Oh,Jang-Han,Jang-Han Oh,209,72,L,R
51994,2001,11,21,South Korea,Han,Jae-Seung,Jae-Seung Han,198,71,R,R
51996,2002,4,25,South Korea,Oh,Tae-Yang,Tae-Yang Oh,172,71,R,R
52001,2003,8,22,South Korea,An,Hyeon-Min,Hyeon-Min An,198,72,R,R
52002,2003,7,3,South Korea,Kim,Byeong-Jun,Byeong-Jun Kim,176,69,L,R
52009,1994,7,20,United States,Alford,Anthony,Anthony Alford,209,73,R,R
52025,1992,4,15,Puerto Rico,Ramos,Henry,Henry Ramos,214,72,R,R
52043,1993,7,26,United States,Benjamin,Wes,Wes Benjamin,209,74,L,L
52060,2003,10,11,South Korea,Park,Yeong-Hyeon,Yeong-Hyeon Park,201,72,R,R
52063,2003,10,14,South Korea,Lee,Sang-U,Sang-U Lee,209,75,R,R
