playerID,birthYear,birthMonth,birthDay,birthCountry,nameLast,nameFirst,nameFull,height,weight,bats,throws,Position
102650,1947,9,7,Japan,Suenaga,Masaaki,Masaaki Suenaga,69,157,R,R,Pinch Hitter
102651,1947,11,3,Japan,Minagawa,Yasuo,Yasuo Minagawa,69,161,R,R,Pitcher
102652,1947,11,5,Japan,Kataoka,Shinnosuke,Shinnosuke Kataoka,69,181,R,R,Catcher
102653,1948,1,16,Japan,Koganemaru,Mitsuru,Mitsuru Koganemaru,70,172,R,R,Pinch Hitter
102654,1948,4,6,Japan,Yamamoto,Seizo,Seizo Yamamoto,68,170,R,R,Left fielder
102655,1948,4,27,Japan,Yoneyama,Tetsuo,Tetsuo Yoneyama,67,154,R,R,Second baseman
102656,1948,5,5,Japan,Noguchi,Yoshio,Yoshio Noguchi,68,168,R,R,Pinch Hitter
102657,1948,5,15,Japan,Takahashi,Fumio,Fumio Takahashi,65,146,L,L,Center fielder
102658,1948,5,23,Japan,Osawa,Tsutomu,Tsutomu Osawa,69,165,R,R,Catcher
102659,1948,6,19,Japan,Yabe,Noriyoshi,Noriyoshi Yabe,67,143,R,R,Shortstop
102660,1948,8,12,Japan,Ishiwata,Shigeru,Shigeru Ishiwata,70,157,R,R,Shortstop
102661,1948,10,2,Japan,Inaba,Mitsuo,Mitsuo Inaba,68,148,R,R,Pitcher
102662,1949,1,18,Japan,Ihara,Shunshoku,Shunshoku Ihara,72,185,R,R,Third baseman
102663,1949,1,20,Japan,Fujii,Nobuyuki,Nobuyuki Fujii,71,176,R,R,Left fielder
102664,1949,3,15,Japan,Sugita,Hisao,Hisao Sugita,72,170,R,R,Pitcher
102665,1949,3,17,Japan,Oki,Katsutoshi,Katsutoshi Oki,68,161,R,R,Pitcher
102666,1949,4,29,Japan,Mitsuhashi,Toyoo,Toyoo Mitsuhashi,72,165,L,L,Pitcher
102667,1949,5,1,Japan,Sekimoto,Shitoshi,Shitoshi Sekimoto,72,165,R,R,Pitcher
102668,1949,8,4,Japan,Imai,Yutaro,Yutaro Imai,70,176,R,R,Pitcher
102669,1949,8,8,Japan,Kusumoto,Hideo,Hideo Kusumoto,68,157,R,R,Right fielder
102670,1949,10,21,Japan,Arita,Tetsuzo,Tetsuzo Arita,71,165,R,R,Pitcher
102671,1949,11,26,Japan,Hoshino,Hidetaka,Hidetaka Hoshino,70,154,L,L,Pitcher
102672,1950,4,23,Japan,Sugiyama,Shigeru,Shigeru Sugiyama,70,157,R,R,Catcher
102673,1950,5,10,Japan,Akasaka,Mitsuaki,Mitsuaki Akasaka,70,165,R,R,Pitcher
102674,1950,6,2,Japan,Shimano,Osamu,Osamu Shimano,70,161,R,R,Pitcher
102675,1950,6,6,Japan,Watabe,Tsukasa,Tsukasa Watabe,69,161,R,R,Pitcher
102676,1950,6,17,Japan,Ogata,Osamu,Osamu Ogata,70,183,R,R,Pitcher
102677,1950,6,26,Japan,Matsui,Masanori,Masanori Matsui,72,176,R,R,Third baseman
102678,1950,7,25,Japan,Yamada,Toshihiko,Toshihiko Yamada,69,159,R,R,Pitcher
102679,1950,8,9,Japan,Ichihara,Akira,Akira Ichihara,68,161,R,R,Pitcher
102680,1950,9,3,Japan,Toiya,Fukuo,Fukuo Toiya,72,192,L,L,Pinch Hitter
102681,1950,10,16,Japan,Oshima,Yasunori,Yasunori Oshima,72,187,R,R,First baseman
102682,1950,12,8,Japan,Sato,Masao,Masao Sato,69,174,R,L,Pitcher
102683,1951,4,11,Japan,Tanioka,Kiyoshi,Kiyoshi Tanioka,68,176,R,R,Third baseman
102684,1951,4,23,Japan,Tanaka,Suekazu,Suekazu Tanaka,70,161,R,R,Left fielder
102685,1951,5,10,Japan,Yabukami,Toshio,Toshio Yabukami,70,172,R,R,Pitcher
102686,1951,5,10,Japan,Toyokura,Koji,Koji Toyokura,69,148,R,R,Pitcher
102687,1951,5,11,Japan,Niura,Hisao,Hisao Niura,72,176,L,L,Pitcher
102688,1951,5,14,Japan,Nemoto,Manabu,Manabu Nemoto,71,161,R,R,Pitcher
102689,1951,6,15,Japan,Yaegashi,Yukio,Yukio Yaegashi,71,198,R,R,Catcher
102690,1951,7,31,Japan,Otake,Kenji,Kenji Otake,70,170,R,R,Pinch Hitter
102691,1951,11,7,Japan,Sakaguchi,Tadaaki,Tadaaki Sakaguchi,71,179,R,R,Pitcher
102692,1951,11,7,Japan,Kono,Kazumasa,Kazumasa Kono,71,170,R,R,Shortstop
102693,1952,1,11,Japan,Shimamoto,Kohei,Kohei Shimamoto,69,176,L,L,Left fielder
102694,1952,4,5,Japan,Awaguchi,Kenji,Kenji Awaguchi,68,168,L,R,Left fielder
102695,1952,4,7,Japan,Ikeuchi,Yutaka,Yutaka Ikeuchi,70,179,R,R,Pitcher
102696,1952,6,5,Japan,Saeki,Kazushi,Kazushi Saeki,71,181,R,R,Pitcher
102697,1952,7,18,Japan,Saita,Osamu,Osamu Saita,67,143,R,R,Pitcher
102698,1952,8,19,Japan,Hidaka,Masahiko,Masahiko Hidaka,69,165,B,R,Pitcher
102699,1952,8,22,Japan,Hamaura,Toru,Toru Hamaura,70,161,R,R,Pitcher
102700,1952,12,15,Japan,Onishi,Tadashi,Tadashi Onishi,69,161,R,R,Pinch Hitter
102701,1953,3,5,Japan,Morioka,Shigeki,Shigeki Morioka,66,161,L,L,Pinch Hitter
102702,1936,8,28,Cuba,Gonzalez,Tony,Tony Gonzalez,69,170,L,R,Left fielder
102703,1937,2,9,United States,Boyer,Clete,Clete Boyer,72,165,R,R,Third baseman
102704,1939,2,11,United States,Smith,Willie,Willie Smith,72,183,L,L,Left fielder
102705,1939,12,18,Cuba,Versalles,Zoilo,Zoilo Versalles,70,146,R,R,Third baseman
102706,1940,10,14,United States,Sorrell,Billy,Billy Sorrell,72,190,L,R,Second baseman
102707,1942,7,22,United States,Johnson,Frank,Frank Johnson,73,154,R,R,Left fielder
102708,1942,10,15,Japan,Kondo,Shigeo,Shigeo Kondo,68,168,R,R,Pitcher
102709,1943,1,15,Japan,Mochizuki,Hikoo,Hikoo Mochizuki,70,161,L,L,Pitcher
102710,1944,4,26,United States,McFadden,Leon,Leon McFadden,74,194,R,R,Left fielder
102711,1946,6,2,Japan,Kurahashi,Hiroshi,Hiroshi Kurahashi,68,146,R,R,Pitcher
102712,1946,7,21,Japan,Watanabe,Takahiro,Takahiro Watanabe,69,157,R,R,Pitcher
102713,1946,8,12,Japan,Nawada,Hiromi,Hiromi Nawada,69,143,R,R,Pitcher
102714,1946,8,29,United States,Sipin,John,John Sipin,73,174,R,R,Second baseman
102715,1946,10,9,United States,Qualls,Jim,Jim Qualls,70,159,B,R,Second baseman
102716,1947,4,17,Japan,Nozaki,Tsuneo,Tsuneo Nozaki,69,172,R,R,Pitcher
