kbofID,playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
1,50007,2022,1,KBO,KT,SS,1,1,1,0,0,0,1,2
2,50007,2022,1,KBO,KT,2B,1,1,0,0,0,0,1,1
3,50007,2023,1,KBO,KT,2B,2,1,0,1,0,0,0.5,0.5
4,50007,2023,1,KBO,KT,SS,1,0,0,0,0,0,,0
5,50030,2020,1,KBO,KT,P,26,8,17,0,0,0,1,0.962
6,50030,2021,1,KBO,KT,P,24,14,17,1,2,0,0.969,1.292
7,50030,2022,1,KBO,KT,P,27,12,25,1,2,0,0.974,1.37
8,50030,2023,1,KBO,KT,P,3,2,2,1,1,0,0.8,1.333
9,50030,2024,1,KBO,KT,P,6,2,1,0,0,0,1,0.5
10,50030,2025,1,KBO,KT,P,9,6,17,1,2,0,0.958,2.556
11,50036,2020,1,KBO,KT,P,4,0,1,0,0,0,1,0.25
12,50036,2021,1,KBO,Lotte,P,15,0,0,0,0,0,,0
13,50036,2022,1,KBO,Lotte,P,13,3,0,0,0,0,1,0.231
14,50036,2025,1,KBO,Kiwoom,P,21,0,3,2,1,0,0.6,0.143
15,50040,2020,1,KBO,KT,P,35,14,23,0,2,0,1,1.057
16,50040,2021,1,KBO,KT,P,33,9,36,1,0,0,0.978,1.364
17,50040,2022,1,KBO,KT,P,30,17,20,1,2,0,0.974,1.233
18,50054,2020,1,KBO,KT,2B,35,22,34,3,5,0,0.949,1.6
19,50054,2020,1,KBO,KT,3B,20,4,15,0,2,0,1,0.95
20,50054,2020,1,KBO,KT,SS,4,1,5,0,1,0,1,1.5
21,50054,2020,1,KBO,KT,1B,1,0,1,0,0,0,1,1
22,50054,2021,1,KBO,KT,1B,12,31,0,1,2,0,0.969,2.583
23,50054,2021,1,KBO,KT,2B,9,4,11,0,2,0,1,1.667
24,50054,2021,1,KBO,KT,3B,8,0,5,2,1,0,0.714,0.625
25,50054,2024,1,KBO,KT,2B,55,73,116,4,27,0,0.979,3.436
26,50054,2024,1,KBO,KT,OF,7,7,1,0,1,0,1,1.143
27,50054,2024,1,KBO,KT,3B,3,1,4,0,0,0,1,1.667
28,50054,2024,1,KBO,KT,OF,1,0,0,0,0,0,,0
29,50054,2025,1,KBO,KT,2B,20,25,50,2,11,0,0.974,3.75
30,50054,2025,1,KBO,KT,1B,5,17,1,0,4,0,1,3.6
31,50066,2020,1,KBO,KT,C,25,50,11,1,2,3,0.984,2.44
32,50066,2023,1,KBO,KT,C,46,175,11,1,1,0,0.995,4.043
33,50066,2023,1,KBO,KT,1B,1,1,0,1,0,0,0.5,1
34,50066,2024,1,KBO,KT,C,17,71,3,2,0,2,0.974,4.353
35,50066,2025,1,KBO,KT,C,10,33,4,2,0,0,0.949,3.7
36,50092,2024,1,KBO,KT,3B,8,1,2,0,0,0,1,0.375
37,50092,2024,1,KBO,KT,SS,2,1,1,1,0,0,0.667,1
38,50092,2025,1,KBO,KT,1B,8,18,2,0,4,0,1,2.5
39,50092,2025,1,KBO,KT,SS,3,0,3,0,1,0,1,1
40,50106,2023,1,KBO,LG,P,67,7,11,1,2,0,0.947,0.269
41,50106,2024,1,KBO,LG,P,62,4,4,0,0,0,1,0.129
42,50108,2024,1,KBO,LG,OF,4,5,0,0,0,0,1,1.25
43,50108,2024,1,KBO,LG,OF,2,0,0,0,0,0,,0
44,50108,2025,1,KBO,LG,OF,7,14,0,0,0,0,1,2
45,50108,2025,1,KBO,LG,OF,6,3,0,0,0,0,1,0.5
46,50109,2020,1,KBO,LG,P,4,1,0,0,0,0,1,0.25
47,50109,2024,1,KBO,KT,P,30,1,8,1,0,0,0.9,0.3
48,50115,2024,1,KBO,LG,2B,2,1,3,1,2,0,0.8,2
49,50115,2024,1,KBO,LG,3B,1,0,0,0,0,0,,0
50,50126,2020,1,KBO,LG,P,20,6,10,0,2,0,1,0.8
51,50126,2021,1,KBO,LG,P,25,7,17,4,3,0,0.857,0.96
52,50126,2022,1,KBO,LG,P,26,5,11,2,2,0,0.889,0.615
53,50126,2023,1,KBO,LG,P,5,0,6,1,0,0,0.857,1.2
54,50150,2020,1,KBO,LG,3B,12,2,8,2,0,0,0.833,0.833
55,50150,2020,1,KBO,LG,1B,3,4,0,0,0,0,1,1.333
56,50150,2020,1,KBO,LG,SS,2,0,2,0,0,0,1,1
57,50150,2020,1,KBO,LG,2B,1,0,0,0,0,0,,0
58,50150,2021,1,KBO,LG,SS,6,4,8,1,0,0,0.923,2
59,50150,2021,1,KBO,LG,3B,2,0,0,1,0,0,0,0
60,50150,2022,1,KBO,LG,2B,20,35,41,5,14,0,0.938,3.8
61,50150,2022,1,KBO,LG,SS,13,6,15,0,2,0,1,1.615
62,50150,2022,1,KBO,LG,3B,3,0,2,0,0,0,1,0.667
63,50150,2022,1,KBO,LG,1B,2,5,1,0,0,0,1,3
64,50150,2023,1,KBO,LG,SS,13,19,18,4,8,0,0.902,2.846
65,50150,2023,1,KBO,LG,2B,7,5,10,0,1,0,1,2.143
66,50150,2023,1,KBO,LG,1B,5,4,0,0,1,0,1,0.8
67,50150,2023,1,KBO,LG,3B,2,1,2,1,0,0,0.75,1.5
68,50150,2024,1,KBO,Lotte,3B,80,58,116,13,12,0,0.93,2.175
69,50150,2024,1,KBO,Lotte,2B,20,24,34,0,11,0,1,2.9
70,50150,2024,1,KBO,Lotte,SS,6,8,9,1,3,0,0.944,2.833
71,50150,2025,1,KBO,Lotte,3B,39,30,69,8,9,0,0.925,2.538
72,50157,2020,1,KBO,LG,P,23,2,6,0,0,0,1,0.348
73,50157,2021,1,KBO,LG,P,35,4,9,0,0,0,1,0.371
74,50157,2022,1,KBO,LG,P,23,4,24,2,1,0,0.933,1.217
75,50157,2023,1,KBO,LG,P,17,4,7,0,0,0,1,0.647
76,50157,2024,1,KBO,LG,P,1,0,0,0,0,0,,0
77,50165,2020,1,KBO,LG,1B,104,799,57,6,84,0,0.993,8.231
78,50165,2021,1,KBO,LG,1B,37,286,24,4,35,0,0.987,8.378
79,50167,2021,1,KBO,LG,1B,4,24,1,0,2,0,1,6.25
80,50167,2021,1,KBO,LG,OF,1,0,0,0,0,0,,0
81,50167,2021,1,KBO,LG,OF,1,0,0,0,0,0,,0
82,50167,2023,1,KBO,Kiwoom,OF,25,75,0,0,0,0,1,3
83,50167,2023,1,KBO,Kiwoom,OF,9,16,0,0,0,0,1,1.778
84,50167,2023,1,KBO,Kiwoom,OF,7,5,0,0,0,0,1,0.714
85,50167,2024,1,KBO,Kiwoom,OF,58,108,3,2,0,0,0.982,1.914
86,50167,2024,1,KBO,Kiwoom,OF,48,102,1,1,0,0,0.99,2.146
87,50167,2024,1,KBO,Kiwoom,OF,1,0,0,0,0,0,,0
88,50167,2025,1,KBO,Kiwoom,OF,38,109,1,0,0,0,1,2.895
89,50202,2020,1,KBO,Doosan,OF,33,15,0,0,0,0,1,0.455
90,50202,2020,1,KBO,Doosan,OF,23,16,1,0,0,0,1,0.739
91,50202,2020,1,KBO,Doosan,OF,9,8,0,0,0,0,1,0.889
92,50202,2021,1,KBO,Doosan,OF,52,27,0,0,0,0,1,0.519
93,50202,2021,1,KBO,Doosan,OF,18,6,1,0,0,0,1,0.389
94,50202,2021,1,KBO,Doosan,OF,11,6,0,0,0,0,1,0.545
95,50202,2022,1,KBO,Doosan,OF,52,82,4,6,0,0,0.935,1.654
96,50202,2022,1,KBO,Doosan,OF,22,33,1,1,0,0,0.971,1.545
97,50202,2022,1,KBO,Doosan,OF,6,3,0,0,0,0,1,0.5
98,50202,2023,1,KBO,Lotte,OF,61,92,4,3,0,0,0.97,1.574
99,50202,2023,1,KBO,Lotte,OF,30,48,1,0,0,0,1,1.633
100,50202,2023,1,KBO,Lotte,OF,27,46,1,0,1,0,1,1.741
101,50203,2020,1,KBO,Doosan,P,14,0,1,0,0,0,1,0.071
102,50203,2021,1,KBO,Doosan,P,24,1,3,0,0,0,1,0.167
103,50203,2022,1,KBO,Doosan,P,10,0,2,0,1,0,1,0.2
104,50203,2024,1,KBO,Doosan,P,8,1,1,1,0,0,0.667,0.25
105,50204,2020,1,KBO,Doosan,1B,4,7,0,0,0,0,1,1.75
106,50204,2020,1,KBO,Doosan,3B,1,1,1,0,0,0,1,2
107,50204,2020,1,KBO,Doosan,2B,1,0,0,0,0,0,,0
108,50204,2020,1,KBO,Doosan,SS,1,0,0,0,0,0,,0
109,50204,2021,1,KBO,Doosan,1B,14,20,3,0,1,0,1,1.643
110,50204,2021,1,KBO,Doosan,3B,6,1,1,0,0,0,1,0.333
111,50204,2021,1,KBO,Doosan,2B,1,0,0,0,0,0,,0
112,50204,2021,1,KBO,Doosan,OF,1,0,0,0,0,0,,0
113,50204,2021,1,KBO,Doosan,SS,1,3,1,0,0,0,1,4
114,50204,2023,1,KBO,Doosan,1B,12,36,1,0,3,0,1,3.083
115,50204,2023,1,KBO,Doosan,3B,3,0,1,0,0,0,1,0.333
116,50204,2023,1,KBO,Doosan,SS,2,0,0,0,0,0,,0
117,50204,2025,1,KBO,Doosan,1B,8,6,0,0,2,0,1,0.75
118,50204,2025,1,KBO,Doosan,3B,5,2,2,0,0,0,1,0.8
119,50204,2025,1,KBO,Doosan,SS,5,2,5,1,1,0,0.875,1.4
120,50204,2025,1,KBO,Doosan,OF,2,0,0,0,0,0,,0
121,50205,2021,1,KBO,Doosan,P,10,0,1,0,0,0,1,0.1
122,50205,2022,1,KBO,Doosan,P,8,0,1,0,0,0,1,0.125
123,50206,2024,1,KBO,Doosan,P,11,1,0,0,0,0,1,0.091
124,50206,2025,1,KBO,Doosan,P,3,0,0,0,0,0,,0
125,50208,2020,1,KBO,Doosan,2B,2,1,1,0,0,0,1,1
126,50208,2021,1,KBO,Doosan,2B,1,1,0,0,0,0,1,1
127,50208,2021,1,KBO,Doosan,SS,1,0,0,0,0,0,,0
128,50208,2021,1,KBO,Doosan,3B,1,0,0,0,0,0,,0
129,50208,2024,1,KBO,Doosan,2B,1,0,0,0,0,0,,0
130,50208,2025,1,KBO,Doosan,2B,22,35,37,1,9,0,0.986,3.273
131,50208,2025,1,KBO,Doosan,SS,16,28,39,2,3,0,0.971,4.188
132,50208,2025,1,KBO,Doosan,3B,7,4,9,0,0,0,1,1.857
133,50208,2025,1,KBO,Doosan,1B,1,0,0,0,0,0,,0
134,50211,2023,1,KBO,Doosan,P,1,0,0,0,0,0,,0
135,50234,2020,1,KBO,Doosan,P,21,4,8,0,0,0,1,0.571
136,50244,2024,1,KBO,Doosan,C,3,8,1,0,0,0,1,3
137,50262,2020,1,KBO,Doosan,P,4,0,1,0,0,0,1,0.25
138,50293,2020,1,KBO,Doosan,OF,9,10,0,0,0,0,1,1.111
139,50293,2020,1,KBO,Doosan,OF,6,1,1,0,0,0,1,0.333
140,50293,2022,1,KBO,Doosan,OF,26,35,1,1,0,0,0.973,1.385
141,50293,2022,1,KBO,Doosan,OF,11,10,0,0,0,0,1,0.909
142,50293,2023,1,KBO,Doosan,OF,34,50,3,0,2,0,1,1.559
143,50293,2023,1,KBO,Doosan,OF,6,2,0,0,0,0,1,0.333
144,50293,2024,1,KBO,Doosan,OF,7,4,0,0,0,0,1,0.571
145,50293,2024,1,KBO,Doosan,OF,3,0,0,0,0,0,,0
146,50296,2020,1,KBO,Doosan,P,4,0,0,0,0,0,,0
147,50296,2021,1,KBO,Doosan,P,6,0,1,0,0,0,1,0.167
148,50298,2020,1,KBO,Doosan,P,3,0,0,0,0,0,,0
149,50298,2021,1,KBO,Doosan,P,1,0,0,0,0,0,,0
150,50300,2020,1,KBO,Kiwoom,3B,8,5,14,2,2,0,0.905,2.375
151,50300,2020,1,KBO,Kiwoom,OF,2,6,0,0,0,0,1,3
152,50300,2020,1,KBO,Kiwoom,1B,1,0,0,0,0,0,,0
153,50304,2020,1,KBO,Kiwoom,2B,1,0,1,0,0,0,1,1
154,50304,2021,1,KBO,Kiwoom,2B,5,5,7,1,1,0,0.923,2.4
155,50304,2021,1,KBO,Kiwoom,SS,3,0,2,0,1,0,1,0.667
156,50304,2023,1,KBO,Kiwoom,2B,7,10,10,0,2,0,1,2.857
157,50304,2023,1,KBO,Kiwoom,SS,3,4,3,1,1,0,0.875,2.333
158,50304,2024,1,KBO,Kiwoom,SS,22,17,39,2,9,0,0.966,2.545
159,50304,2024,1,KBO,Kiwoom,2B,5,3,6,0,1,0,1,1.8
160,50304,2024,1,KBO,Kiwoom,3B,1,0,1,0,0,0,1,1
161,50312,2021,1,KBO,Kiwoom,SS,28,22,44,5,9,0,0.93,2.357
162,50312,2021,1,KBO,Kiwoom,2B,22,10,10,0,2,0,1,0.909
163,50312,2021,1,KBO,Kiwoom,3B,2,0,1,0,0,0,1,0.5
164,50312,2022,1,KBO,Kiwoom,SS,66,31,76,2,20,0,0.982,1.621
165,50312,2022,1,KBO,Kiwoom,2B,12,7,4,0,1,0,1,0.917
166,50312,2023,1,KBO,Kiwoom,SS,14,9,13,2,3,0,0.917,1.571
167,50312,2023,1,KBO,Kiwoom,2B,8,2,5,0,1,0,1,0.875
168,50312,2023,1,KBO,Kiwoom,3B,1,0,0,0,0,0,,0
169,50312,2024,1,KBO,Kiwoom,SS,1,0,0,0,0,0,,0
170,50350,2020,1,KBO,Kiwoom,2B,38,65,115,4,23,0,0.978,4.737
171,50350,2020,1,KBO,Kiwoom,SS,28,41,64,8,12,0,0.929,3.75
172,50350,2023,1,KBO,Kiwoom,SS,51,68,113,3,24,0,0.984,3.549
173,50354,2021,1,KBO,Kiwoom,P,2,0,0,0,0,0,,0
174,50354,2023,1,KBO,Kiwoom,P,11,1,0,1,0,0,0.5,0.091
175,50354,2024,1,KBO,Kiwoom,P,12,4,9,2,0,0,0.867,1.083
176,50357,2020,1,KBO,Kiwoom,OF,7,6,0,1,0,0,0.857,0.857
177,50357,2020,1,KBO,Kiwoom,OF,1,0,0,0,0,0,,0
178,50357,2021,1,KBO,Kiwoom,OF,11,20,0,0,0,0,1,1.818
179,50357,2021,1,KBO,Kiwoom,1B,1,11,0,0,1,0,1,11
180,50357,2022,1,KBO,Kiwoom,OF,10,15,0,0,0,0,1,1.5
181,50357,2022,1,KBO,Kiwoom,OF,3,3,0,0,0,0,1,1
182,50357,2023,1,KBO,Kiwoom,OF,10,10,0,0,0,0,1,1
183,50357,2023,1,KBO,Kiwoom,1B,9,51,2,0,7,0,1,5.889
184,50357,2023,1,KBO,Kiwoom,OF,1,0,0,0,0,0,,0
185,50357,2024,1,KBO,Kiwoom,OF,17,25,1,0,0,0,1,1.529
186,50357,2024,1,KBO,Kiwoom,OF,4,3,0,0,0,0,1,0.75
187,50357,2024,1,KBO,Kiwoom,1B,3,11,0,0,4,0,1,3.667
188,50357,2025,1,KBO,Kiwoom,OF,17,29,1,0,1,0,1,1.765
189,50357,2025,1,KBO,Kiwoom,OF,15,21,0,1,0,0,0.955,1.4
190,50357,2025,1,KBO,Kiwoom,OF,6,20,1,0,1,0,1,3.5
191,50357,2025,1,KBO,Kiwoom,1B,3,2,0,0,1,0,1,0.667
192,50360,2020,1,KBO,Kiwoom,P,8,1,1,0,0,0,1,0.25
193,50360,2021,1,KBO,Kiwoom,P,40,1,14,2,2,0,0.882,0.375
194,50360,2022,1,KBO,Kiwoom,P,24,3,7,0,2,0,1,0.417
195,50360,2023,1,KBO,Kiwoom,P,35,1,6,1,1,0,0.875,0.2
196,50360,2024,1,KBO,Kiwoom,P,17,1,3,0,0,0,1,0.235
197,50365,2020,1,KBO,Kiwoom,2B,3,2,2,0,1,0,1,1.333
198,50365,2020,1,KBO,Kiwoom,3B,2,0,0,0,0,0,,0
199,50365,2020,1,KBO,Kiwoom,SS,1,0,0,0,0,0,,0
200,50365,2021,1,KBO,Kiwoom,2B,5,6,7,0,0,0,1,2.6
201,50365,2021,1,KBO,Kiwoom,SS,3,2,4,0,2,0,1,2
202,50365,2021,1,KBO,Kiwoom,1B,2,1,0,0,0,0,1,0.5
203,50365,2021,1,KBO,Kiwoom,3B,2,0,3,0,0,0,1,1.5
204,50393,2021,1,KBO,Kiwoom,P,3,0,0,0,0,0,,0
205,50393,2024,1,KBO,Kiwoom,P,37,2,3,0,0,0,1,0.135
206,50397,2020,1,KBO,Kiwoom,P,1,0,0,0,0,0,,0
207,50397,2021,1,KBO,Kiwoom,P,2,0,0,0,0,0,,0
208,50404,2020,1,KBO,Samsung,P,27,7,25,1,2,0,0.97,1.185
209,50404,2021,1,KBO,Samsung,P,30,14,20,0,3,0,1,1.133
210,50404,2022,1,KBO,Samsung,P,26,21,20,1,1,0,0.976,1.577
211,50404,2023,1,KBO,Samsung,P,30,15,40,2,2,0,0.965,1.833
212,50411,2022,1,KBO,Samsung,P,8,0,1,0,0,0,1,0.125
213,50430,2020,1,KBO,Samsung,P,1,0,1,0,0,0,1,1
214,50430,2023,1,KBO,Samsung,P,3,0,0,0,0,0,,0
215,50430,2024,1,KBO,Samsung,P,4,2,3,0,0,0,1,1.25
216,50441,2020,1,KBO,Samsung,P,1,0,0,0,0,0,,0
217,50441,2022,1,KBO,Samsung,P,16,5,5,0,1,0,1,0.625
218,50441,2023,1,KBO,Samsung,P,7,1,2,0,0,0,1,0.429
219,50441,2024,1,KBO,Samsung,P,15,2,6,1,0,0,0.889,0.533
220,50441,2025,1,KBO,Samsung,P,5,0,1,0,0,0,1,0.2
221,50449,2020,1,KBO,Samsung,P,11,0,5,0,0,0,1,0.455
222,50449,2021,1,KBO,Samsung,P,1,0,1,0,0,0,1,1
223,50449,2022,1,KBO,Samsung,P,12,0,4,0,0,0,1,0.333
224,50449,2023,1,KBO,Samsung,P,7,0,1,0,0,0,1,0.143
225,50458,2020,1,KBO,Samsung,2B,74,78,112,5,16,0,0.974,2.568
226,50458,2020,1,KBO,Samsung,SS,37,47,68,4,13,0,0.966,3.108
227,50458,2020,1,KBO,Samsung,3B,13,5,11,0,2,0,1,1.231
228,50458,2020,1,KBO,Samsung,OF,3,6,0,0,0,0,1,2
229,50458,2020,1,KBO,Samsung,OF,2,1,0,1,0,0,0.5,0.5
230,50458,2021,1,KBO,Samsung,SS,90,90,172,15,34,0,0.946,2.911
231,50458,2021,1,KBO,Samsung,2B,36,27,44,3,10,0,0.959,1.972
232,50458,2021,1,KBO,Samsung,3B,5,0,11,1,0,0,0.917,2.2
233,50458,2022,1,KBO,Samsung,2B,96,194,251,18,55,0,0.961,4.635
234,50458,2022,1,KBO,Samsung,SS,15,14,32,4,8,0,0.92,3.067
235,50458,2023,1,KBO,Samsung,2B,91,170,224,16,45,0,0.961,4.33
236,50458,2024,1,KBO,Samsung,OF,117,259,0,3,0,0,0.989,2.214
237,50458,2024,1,KBO,Samsung,2B,10,3,1,0,0,0,1,0.4
238,50458,2025,1,KBO,Samsung,OF,21,40,0,0,0,0,1,1.905
239,50464,2020,1,KBO,Samsung,P,7,0,5,0,2,0,1,0.714
240,50464,2021,1,KBO,Samsung,P,11,2,8,0,1,0,1,0.909
241,50464,2022,1,KBO,Samsung,P,2,0,0,0,0,0,,0
242,50464,2024,1,KBO,Samsung,P,25,1,5,0,0,0,1,0.24
243,50464,2025,1,KBO,Samsung,P,15,3,4,0,0,0,1,0.467
244,50468,2020,1,KBO,Samsung,OF,16,19,0,0,0,0,1,1.188
245,50468,2020,1,KBO,Samsung,1B,15,68,7,1,8,0,0.987,5
246,50468,2020,1,KBO,Samsung,3B,13,8,6,2,1,0,0.875,1.077
247,50468,2020,1,KBO,Samsung,SS,6,9,19,2,6,0,0.933,4.667
248,50469,2020,1,KBO,Samsung,1B,11,65,9,2,6,0,0.974,6.727
249,50469,2020,1,KBO,Samsung,OF,8,9,0,0,0,0,1,1.125
250,50469,2020,1,KBO,Samsung,OF,6,6,0,0,0,0,1,1
251,50500,2022,1,KBO,Lotte,OF,54,94,1,5,1,0,0.95,1.759
252,50500,2022,1,KBO,Lotte,OF,36,42,0,2,0,0,0.955,1.167
253,50500,2022,1,KBO,Lotte,OF,13,22,1,0,0,0,1,1.769
254,50500,2023,1,KBO,Lotte,OF,60,96,2,1,0,0,0.99,1.633
255,50500,2023,1,KBO,Lotte,OF,14,21,0,0,0,0,1,1.5
256,50500,2023,1,KBO,Lotte,OF,2,3,0,0,0,0,1,1.5
257,50500,2024,1,KBO,Lotte,OF,65,87,3,2,1,0,0.978,1.385
258,50500,2024,1,KBO,Lotte,OF,57,58,2,2,0,0,0.968,1.053
259,50500,2024,1,KBO,Lotte,OF,2,1,0,0,0,0,1,0.5
260,50500,2025,1,KBO,Lotte,OF,27,40,1,2,0,0,0.953,1.519
261,50500,2025,1,KBO,Lotte,OF,1,1,0,0,0,0,1,1
262,50506,2020,1,KBO,Lotte,SS,144,228,380,10,88,0,0.984,4.222
263,50506,2021,1,KBO,Lotte,SS,133,235,337,11,78,0,0.981,4.301
264,50524,2020,1,KBO,Lotte,P,25,4,29,5,3,0,0.868,1.32
265,50556,2020,1,KBO,Lotte,P,31,3,5,0,0,0,1,0.258
266,50556,2021,1,KBO,Lotte,P,44,1,7,1,1,0,0.889,0.182
267,50556,2022,1,KBO,Lotte,P,68,6,9,0,1,0,1,0.221
268,50556,2023,1,KBO,Lotte,P,47,3,10,0,2,0,1,0.277
269,50556,2024,1,KBO,Lotte,P,27,1,3,0,0,0,1,0.148
270,50556,2025,1,KBO,Lotte,P,5,0,1,1,0,0,0.5,0.2
271,50558,2020,1,KBO,Lotte,P,31,13,14,3,1,0,0.9,0.871
272,50558,2021,1,KBO,Lotte,P,31,8,19,0,1,0,1,0.871
273,50558,2022,1,KBO,Lotte,P,11,3,8,1,1,0,0.917,1
274,50558,2023,1,KBO,Lotte,P,16,3,7,0,0,0,1,0.625
275,50563,2021,1,KBO,Lotte,P,5,0,0,0,0,0,,0
276,50573,2022,1,KBO,Lotte,P,1,0,0,0,0,0,,0
277,50592,2020,1,KBO,Lotte,P,2,0,0,0,0,0,,0
278,50596,2021,1,KBO,Lotte,P,1,0,0,0,0,0,,0
279,50596,2024,1,KBO,Lotte,P,3,0,0,0,0,0,,0
280,50596,2025,1,KBO,Lotte,P,2,0,0,0,0,0,,0
281,50600,2020,1,KBO,KIA,2B,36,57,72,0,17,0,1,3.583
282,50600,2023,1,KBO,KIA,2B,13,2,7,0,1,0,1,0.692
283,50600,2023,1,KBO,KIA,SS,8,5,2,0,1,0,1,0.875
284,50600,2023,1,KBO,KIA,3B,3,1,2,0,1,0,1,1
285,50600,2024,1,KBO,KIA,2B,65,36,61,2,17,0,0.98,1.492
286,50600,2024,1,KBO,KIA,SS,17,13,24,2,6,0,0.949,2.176
287,50600,2024,1,KBO,KIA,3B,15,2,7,1,0,0,0.9,0.6
288,50600,2024,1,KBO,KIA,OF,1,0,0,0,0,0,,0
289,50600,2025,1,KBO,KIA,2B,18,24,32,0,8,0,1,3.111
290,50600,2025,1,KBO,KIA,3B,4,3,4,0,0,0,1,1.75
291,50600,2025,1,KBO,KIA,SS,1,0,1,0,0,0,1,1
292,50604,2024,1,KBO,KIA,P,3,0,0,1,0,0,0,0
293,50608,2024,1,KBO,Lotte,OF,2,0,0,0,0,0,,0
294,50608,2024,1,KBO,Lotte,OF,1,0,0,0,0,0,,0
295,50608,2025,1,KBO,Lotte,OF,1,0,0,0,0,0,,0
296,50636,2020,1,KBO,KIA,P,23,13,25,2,4,0,0.95,1.652
297,50636,2021,1,KBO,KIA,P,13,8,16,1,2,0,0.96,1.846
298,50640,2020,1,KBO,KIA,P,28,8,18,0,0,0,1,0.929
299,50641,2022,1,KBO,KIA,P,3,0,0,0,0,0,,0
300,50641,2024,1,KBO,KIA,P,1,0,0,0,0,0,,0
301,50641,2025,1,KBO,KIA,P,3,0,0,0,0,0,,0
302,50650,2021,1,KBO,KIA,P,3,0,0,0,0,0,,0
303,50657,2020,1,KBO,KIA,3B,5,0,4,1,0,0,0.8,0.8
304,50657,2021,1,KBO,KIA,SS,14,13,24,2,6,0,0.949,2.643
305,50657,2022,1,KBO,KIA,3B,4,0,0,0,0,0,,0
306,50657,2022,1,KBO,KIA,SS,1,0,1,0,0,0,1,1
307,50657,2024,1,KBO,KIA,SS,10,9,13,3,4,0,0.88,2.2
308,50657,2024,1,KBO,KIA,2B,4,1,10,3,3,0,0.786,2.75
309,50657,2024,1,KBO,KIA,3B,3,0,0,0,0,0,,0
310,50657,2025,1,KBO,KIA,SS,1,0,0,0,0,0,,0
311,50657,2025,1,KBO,KIA,2B,1,3,4,0,1,0,1,7
312,50662,2020,1,KBO,KIA,P,47,1,3,1,0,0,0.8,0.085
313,50662,2021,1,KBO,KIA,P,64,3,10,1,2,0,0.929,0.203
314,50662,2022,1,KBO,KIA,P,55,4,8,1,0,0,0.923,0.218
315,50662,2023,1,KBO,KIA,P,52,3,7,1,0,0,0.909,0.192
316,50662,2024,1,KBO,KIA,P,53,3,5,0,1,0,1,0.151
317,50662,2025,1,KBO,KIA,P,24,2,3,1,0,0,0.833,0.208
318,50704,2020,1,KBO,Hanwha,OF,42,60,3,0,1,0,1,1.5
319,50704,2020,1,KBO,Hanwha,OF,1,0,0,0,0,0,,0
320,50704,2020,1,KBO,Hanwha,OF,1,1,0,0,0,0,1,1
321,50704,2021,1,KBO,Hanwha,OF,40,70,0,1,0,0,0.986,1.75
322,50704,2022,1,KBO,Hanwha,OF,19,24,2,1,0,0,0.963,1.368
323,50704,2022,1,KBO,Hanwha,OF,1,0,0,0,0,0,,0
324,50704,2024,1,KBO,Hanwha,OF,16,23,2,0,0,0,1,1.562
325,50704,2024,1,KBO,Hanwha,OF,13,6,0,0,0,0,1,0.462
326,50704,2025,1,KBO,Hanwha,OF,13,16,0,1,0,0,0.941,1.231
327,50705,2020,1,KBO,Hanwha,P,50,1,9,0,0,0,1,0.2
328,50705,2021,1,KBO,Hanwha,P,58,5,6,0,2,0,1,0.19
329,50705,2022,1,KBO,Hanwha,P,56,3,6,0,0,0,1,0.161
330,50705,2023,1,KBO,Hanwha,P,43,0,5,0,0,0,1,0.116
331,50706,2020,1,KBO,Hanwha,P,2,1,0,0,1,0,1,0.5
332,50706,2021,1,KBO,Hanwha,P,4,2,0,0,0,0,1,0.5
333,50707,2020,1,KBO,Hanwha,OF,37,61,4,0,0,0,1,1.757
334,50707,2020,1,KBO,Hanwha,OF,1,0,0,0,0,0,,0
335,50707,2020,1,KBO,Hanwha,1B,1,6,0,0,0,0,1,6
336,50707,2021,1,KBO,Hanwha,OF,43,75,1,0,1,0,1,1.767
337,50707,2021,1,KBO,Hanwha,OF,2,2,0,0,0,0,1,1
338,50707,2023,1,KBO,Hanwha,OF,37,76,0,1,0,0,0.987,2.054
339,50707,2024,1,KBO,Hanwha,OF,62,96,3,2,0,0,0.98,1.597
340,50707,2024,1,KBO,Hanwha,OF,4,6,1,0,0,0,1,1.75
341,50707,2025,1,KBO,Hanwha,OF,11,8,0,0,0,0,1,0.727
342,50707,2025,1,KBO,Hanwha,OF,2,0,0,0,0,0,,0
343,50707,2025,1,KBO,Hanwha,OF,1,0,0,0,0,0,,0
344,50709,2020,1,KBO,Hanwha,SS,15,14,29,1,5,0,0.977,2.867
345,50709,2020,1,KBO,Hanwha,3B,3,1,1,0,0,0,1,0.667
346,50709,2020,1,KBO,Hanwha,1B,3,5,0,0,0,0,1,1.667
347,50709,2020,1,KBO,Hanwha,2B,1,0,4,0,1,0,1,4
348,50709,2021,1,KBO,Hanwha,SS,17,18,27,1,3,0,0.978,2.647
349,50709,2021,1,KBO,Hanwha,2B,8,13,18,2,4,0,0.939,3.875
350,50709,2021,1,KBO,Hanwha,1B,7,42,3,2,3,0,0.957,6.429
351,50709,2021,1,KBO,Hanwha,3B,3,2,5,1,0,0,0.875,2.333
352,50709,2022,1,KBO,Hanwha,SS,35,38,81,5,13,0,0.96,3.4
