playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
100076,1939,1,JBL,KYOJIN,3,4,0,0,0,0,0,0,0,,0,0,,4,0,0,0,0,0,0,0
100077,1936,1,JBL,DAI TOKYO,36,104,10,17,1,0,0,3,4,,17,16,,,18,0.163,0.173,,,,
100077,1937,1,JBL,KORAKUEN,9,17,1,3,1,0,0,3,0,,1,2,,,4,0.176,0.235,,,,
100077,1939,1,JBL,EAGLES,32,66,2,9,2,0,0,3,3,,7,14,,75,11,0.136,0.167,0.219,0.386,0.093,0.187
100078,1936,1,JBL,OSAKA,38,89,19,29,1,3,2,18,4,,11,6,,,42,0.326,0.472,,,,
100078,1937,1,JBL,OSAKA,80,231,33,65,18,6,0,31,2,,25,20,,,95,0.281,0.411,,,,
100078,1938,1,JBL,OSAKA,75,310,57,87,18,9,1,54,8,,34,15,,,126,0.281,0.406,,,,
100078,1943,1,JBL,HANSHIN,34,124,10,25,4,1,0,11,2,2,14,8,,,31,0.202,0.25,,,,
100078,1944,1,JBL,HANSHIN,35,130,12,41,2,3,0,25,2,2,19,3,,,49,0.315,0.377,,,,
100078,1946,1,JBL,OSAKA,96,375,65,121,31,12,5,69,11,5,48,22,,,191,0.323,0.509,,,,
100078,1947,1,JBL,OSAKA,119,481,60,132,36,6,2,71,10,6,34,14,,,186,0.274,0.387,,,,
100078,1948,1,JBL,OSAKA,140,572,69,166,38,13,13,108,15,7,31,28,,,269,0.29,0.47,,,,
100078,1949,1,JBL,OSAKA,137,563,116,187,35,3,46,142,12,4,47,44,,,366,0.332,0.65,,,,
100078,1950,1,CL,OSAKA,140,527,130,191,41,3,39,146,21,2,100,36,16,,355,0.362,0.674,,,,
100078,1951,1,CL,OSAKA,113,410,71,131,27,3,23,97,7,3,69,24,12,,233,0.32,0.568,,,,
100078,1952,1,CL,OSAKA,120,475,74,149,29,1,20,95,5,1,59,44,13,,240,0.314,0.505,,,,
100078,1953,1,CL,OSAKA,130,459,62,135,28,0,27,98,1,3,60,51,10,,244,0.294,0.532,,,,
100078,1954,1,CL,OSAKA,114,422,42,115,15,0,21,78,2,0,32,43,13,468,193,0.273,0.457,0.323,0.781,0.068,0.092
