kbopID,playerID,yearID,stint,lgID,teamID,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT
458,54608,2025,1,KBO,KIA,1,0,0,0,0,0,6,2,0,0,0,1,0,0,0,8,-
459,54612,2024,1,KBO,KIA,8,5,1,0,0,0,123,41,2,12,1,43,19,16,3.57,172,0.833
460,54615,2024,1,KBO,KIA,4,1,1,0,0,0,48,17,2,5,3,20,10,9,5.06,73,0.5
461,54640,2024,1,KBO,KIA,26,12,5,0,0,0,450,154,11,35,9,138,69,42,2.53,642,0.706
462,54640,2025,1,KBO,KIA,9,2,1,0,0,0,166,42,0,15,4,48,13,13,2.18,215,0.667
463,54645,2024,1,KBO,KIA,2,0,0,0,0,0,3,3,0,1,0,2,2,1,9,8,-
464,54664,2024,1,KBO,KIA,9,3,2,1,1,0,136,38,4,17,2,52,24,22,4.53,184,0.6
465,54666,2024,1,KBO,KIA,7,2,2,0,0,0,109,35,3,12,3,37,19,19,4.93,150,0.5
466,54705,2024,1,KBO,Hanwha,1,0,1,0,0,0,1,1,0,3,0,1,2,2,54,5,0
467,54720,2024,1,KBO,Hanwha,20,6,7,0,0,0,283,114,10,18,0,83,58,53,5.15,405,0.462
468,54729,2024,1,KBO,Hanwha,36,2,8,0,0,0,216,80,9,51,5,70,44,43,5.38,341,0.2
469,54755,2024,1,KBO,Hanwha,16,5,5,0,0,0,280,77,8,29,3,98,43,38,3.73,384,0.5
470,54755,2025,1,KBO,Hanwha,9,6,1,0,0,0,171,45,7,15,3,61,22,21,3.36,231,0.857
471,54768,2024,1,KBO,Hanwha,21,1,2,0,0,0,123,57,5,14,6,32,34,29,6.37,198,0.333
472,54768,2025,1,KBO,Hanwha,17,0,0,0,0,0,48,19,1,8,4,9,4,4,2.25,76,-
473,54802,2025,1,KBO,SSG,2,0,0,0,0,0,12,0,0,2,1,3,0,0,0,13,-
474,54803,2024,1,KBO,SSG,2,0,0,0,0,0,2,5,1,3,0,1,4,4,54,10,-
475,54803,2025,1,KBO,SSG,3,0,0,0,0,0,19,3,1,4,0,1,3,3,5.79,21,-
476,54804,2024,1,KBO,SSG,6,0,3,0,0,0,73,37,2,10,3,18,33,32,12.71,116,0
477,54807,2024,1,KBO,SSG,3,0,0,0,0,0,9,1,0,0,1,2,0,0,0,9,-
478,54833,2024,1,KBO,SSG,24,11,3,0,0,0,352,98,11,53,8,158,55,50,3.89,496,0.786
479,54833,2025,1,KBO,SSG,9,3,2,0,0,0,153,34,3,15,4,77,17,13,2.32,206,0.6
480,54843,2024,1,KBO,Doosan,12,4,5,0,0,0,174,59,6,33,3,46,41,36,5.65,264,0.444
481,54900,2024,1,KBO,NC,12,1,5,0,0,0,123,46,5,23,2,21,35,29,6.47,181,0.167
482,54900,2025,1,KBO,NC,1,0,0,0,0,0,3,2,0,3,0,0,2,2,18,8,-
483,54903,2024,1,KBO,NC,9,0,0,0,0,0,31,7,2,6,0,8,3,3,3.12,37,-
484,54903,2025,1,KBO,NC,3,0,0,0,0,0,16,6,0,3,0,2,5,3,7.36,21,-
485,54904,2024,1,KBO,NC,4,0,1,0,0,0,16,2,0,2,1,4,4,4,9.82,16,0
486,54904,2025,1,KBO,NC,18,3,1,0,0,0,54,11,1,8,0,12,7,7,3.5,72,0.75
487,54913,2024,1,KBO,NC,7,0,0,0,0,0,21,8,0,3,0,2,4,4,5.68,30,-
488,54913,2025,1,KBO,NC,6,0,0,0,0,0,9,5,0,3,0,1,4,4,12,17,-
489,54920,2024,1,KBO,NC,19,8,6,0,0,0,340,117,11,25,7,89,65,54,4.35,476,0.571
490,54930,2024,1,KBO,NC,26,13,3,0,0,0,471,124,11,38,11,182,51,47,2.69,631,0.813
491,55138,2025,1,KBO,LG,2,1,0,0,0,0,33,12,3,0,1,5,7,7,5.73,46,1
492,55146,2025,1,KBO,LG,9,5,1,0,0,0,168,41,1,13,2,57,15,14,2.28,217,0.833
493,55167,2025,1,KBO,LG,17,1,0,0,0,0,45,11,0,11,0,20,3,3,1.8,65,1
494,55215,2025,1,KBO,Doosan,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,4,-
495,55239,2025,1,KBO,Doosan,9,2,3,0,0,0,156,43,0,15,2,54,20,19,3.29,210,0.4
496,55257,2025,1,KBO,Doosan,9,5,3,0,0,0,153,39,1,23,9,40,26,23,4.06,216,0.625
497,55267,2025,1,KBO,Doosan,13,2,0,0,0,1,64,16,1,7,0,13,6,4,1.83,82,1
498,55300,2025,1,KBO,Kiwoom,4,0,0,0,0,0,12,5,0,4,1,4,5,5,11.25,22,-
499,55301,2025,1,KBO,Kiwoom,7,0,1,0,0,0,18,8,1,2,0,3,2,2,3,28,0
500,55313,2025,1,KBO,Kiwoom,3,2,0,0,0,0,45,19,1,13,0,11,10,8,4.8,74,1
501,55322,2025,1,KBO,Kiwoom,10,3,4,0,0,0,171,55,5,18,4,66,31,25,3.95,250,0.429
502,55359,2025,1,KBO,Kiwoom,4,0,0,0,0,0,18,14,2,5,0,4,12,12,20.25,34,-
503,55396,2025,1,KBO,Kiwoom,15,2,1,0,0,0,60,26,2,17,4,13,22,15,6.75,107,0.667
504,55455,2025,1,KBO,Samsung,20,0,0,0,0,0,52,18,2,12,1,17,9,9,5.17,76,-
505,55536,2025,1,KBO,Lotte,9,5,1,0,0,0,166,41,1,20,1,48,12,12,2.01,215,0.833
506,55568,2025,1,KBO,Lotte,3,0,0,0,0,0,16,8,1,1,1,4,6,6,14.73,21,-
507,55633,2025,1,KBO,KIA,9,5,1,0,0,0,162,36,3,12,3,57,20,18,3,213,0.833
508,55730,2025,1,KBO,Hanwha,9,7,0,0,0,0,177,37,2,17,0,75,12,11,1.68,224,1
509,55743,2025,1,KBO,Hanwha,18,1,0,0,0,0,54,9,3,6,1,23,9,9,4.5,70,1
510,55764,2025,1,KBO,Hanwha,5,0,0,0,0,0,18,5,1,7,0,4,5,5,8.44,28,-
511,55855,2025,1,KBO,SSG,5,3,0,0,0,0,87,17,4,10,0,25,9,8,2.54,112,1
512,55903,2025,1,KBO,NC,9,5,2,0,0,0,157,37,6,22,1,66,24,20,3.55,212,0.714
513,55912,2025,1,KBO,NC,9,2,5,0,0,0,148,43,2,24,5,33,25,20,3.78,215,0.286
514,55995,2025,1,KBO,NC,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,-
515,60105,2016,1,KBO,LG,2,0,0,0,0,0,22,5,3,1,0,1,4,4,6.35,23,-
516,60105,2017,1,KBO,LG,4,0,0,0,0,0,16,6,1,4,0,2,4,4,9.82,19,-
517,60105,2018,1,KBO,LG,8,0,0,0,0,0,33,9,0,4,2,11,2,2,1.64,51,-
518,60139,2010,1,KBO,LG,15,4,6,0,0,0,186,83,10,37,3,29,58,56,8.22,300,0.4
519,60140,2010,1,KBO,LG,24,0,1,0,0,0,82,25,1,22,6,24,23,18,6.31,129,0
520,60140,2011,1,KBO,LG,11,0,0,0,0,0,58,12,0,8,1,19,4,2,1.02,74,-
521,60140,2012,1,KBO,LG,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,-
522,60140,2013,1,KBO,LG,26,9,5,0,0,0,373,128,8,30,16,82,62,58,4.26,525,0.643
523,60140,2014,1,KBO,LG,15,1,3,0,0,0,156,53,8,16,5,39,38,38,6.66,220,0.25
524,60140,2017,1,KBO,LG,63,3,5,0,0,10,177,61,4,24,10,58,42,35,5.34,265,0.375
525,60140,2018,1,KBO,LG,49,3,7,0,0,0,157,59,5,17,6,56,37,33,5.86,227,0.3
526,60140,2019,1,KBO,Hanwha,44,5,1,0,0,0,139,48,6,21,6,35,33,29,5.84,207,0.833
527,60140,2020,1,KBO,Hanwha,16,0,1,0,0,0,36,15,2,7,2,14,12,12,9,57,0
528,60140,2021,1,KBO,Hanwha,20,0,2,0,0,0,60,25,3,15,3,14,24,19,8.55,102,0
529,60140,2022,1,KBO,Hanwha,44,2,1,0,0,1,141,52,4,16,7,23,25,21,4.02,215,0.667
530,60140,2023,1,KBO,Lotte,34,4,0,0,0,0,87,32,4,11,3,28,15,15,4.66,128,1
531,60146,2015,1,KBO,LG,15,0,0,0,0,0,48,14,1,10,1,21,10,10,5.87,71,-
532,60146,2016,1,KBO,LG,38,3,1,0,0,0,123,46,5,23,4,29,28,25,5.49,191,0.75
