mnkpID,playerID,mlb_playerID,npb_playerID,kbo_playerID,yearID,stint,lgID,teamID,transition_indicator,G,W,L,CG,SHO,SV,IPouts,H,HR,BB,HBP,SO,R,ER,ERA,BFP,WPCT,AL_indicator,NL_indicator,CL_indicator,PL_indicator,KBO_indicator
1074,MLB_andersh01_NPB__KBO_53664,,,53664.0,2023,1,KBO,KIA,5,14,4,7,0.0,0,0.0,237,76,6,26,2.0,64,42.0,33.0,3.76,336.0,0.364,0,0,0,0,1
1134,MLB_andrima01_NPB_107140_KBO_,,107140.0,,2022,1,CL,YOMIURI,4,5,0,2,0.0,0,0.0,56,28,3,4,1.0,18,11.0,10.0,4.821428571,87.0,0,0,0,1,0,0
1156,MLB_andujlu01_NPB__KBO_71653,,,71653.0,2001,1,KBO,KIA,2,4,2,1,0.0,0,0.0,72,27,2,9,0.0,14,9.0,8.0,3.0,100.0,0.667,0,0,0,0,1
1252,MLB_aquinlu01_NPB_104408_KBO_,,104408.0,,1996,1,PL,KINTETSU,3,25,11,9,2.0,1,0.0,468,158,22,55,4.0,58,75.0,70.0,4.038461538,658.0,0.55,0,0,0,1,0
1259,MLB_araujel01_NPB_106540_KBO_,,106540.0,,2017,1,CL,CHUNICHI,2,6,1,0,0.0,0,0.0,25,9,1,3,2.0,6,6.0,6.0,6.48,38.0,1,0,0,1,0,0
1291,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2015,1,PL,NIPPON-HAM,1,18,8,6,1.0,1,0.0,310,113,13,32,3.0,81,60.0,55.0,4.790322581,453.0,0.571,0,0,0,1,0
1292,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2016,1,PL,NIPPON-HAM,1,22,11,9,2.0,1,0.0,468,150,13,38,2.0,103,52.0,51.0,2.942307692,640.0,0.55,0,0,0,1,0
1293,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2017,1,PL,NIPPON-HAM,1,25,10,13,4.0,0,0.0,507,194,21,39,4.0,88,97.0,89.0,4.73964497,726.0,0.435,0,0,0,1,0
1294,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2018,1,PL,NIPPON-HAM,1,20,8,5,1.0,0,2.0,332,124,17,15,5.0,87,60.0,56.0,4.554216867,471.0,0.615,0,0,0,1,0
1295,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2019,1,PL,NIPPON-HAM,1,24,15,8,1.0,1,0.0,493,111,14,40,9.0,161,49.0,45.0,2.464503043,639.0,0.652,0,0,0,1,0
1296,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2020,1,PL,NIPPON-HAM,1,20,8,9,3.0,1,0.0,398,125,11,30,6.0,106,56.0,51.0,3.459798995,547.0,0.471,0,0,0,1,0
1299,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2023,1,PL,SOFTBANK,3,17,10,5,1.0,1,0.0,361,105,13,25,7.0,74,40.0,31.0,2.318559557,490.0,0.667,0,0,0,1,0
1300,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2024,1,PL,SOFTBANK,3,26,14,7,3.0,2,0.0,547,142,12,37,8.0,137,56.0,48.0,2.36928702,718.0,0.667,0,0,0,1,0
1301,MLB_arihako01_NPB_106313_KBO_,,106313.0,,2025,1,PL,SOFTBANK,3,9,2,5,0.0,0,0.0,180,62,6,13,2.0,29,31.0,29.0,4.35,253.0,0.286,0,0,0,1,0
1532,MLB_atchisc01_NPB_105549_KBO_,,105549.0,,2008,1,CL,HANSHIN,3,42,7,6,0.0,0,0.0,314,104,9,26,2.0,85,50.0,43.0,3.697452229,436.0,0.538,0,0,1,0,0
1533,MLB_atchisc01_NPB_105549_KBO_,,105549.0,,2009,1,CL,HANSHIN,3,75,5,3,0.0,0,0.0,270,60,3,20,1.0,81,20.0,17.0,1.7,338.0,0.625,0,0,1,0,0
1609,MLB_austiri01_NPB_102849_KBO_,,102849.0,,1974,1,PL,HANKYU,2,8,1,1,0.0,0,0.0,81,26,1,9,1.0,26,9.0,7.0,2.333333333,111.0,0.5,0,0,0,1,0
1645,MLB_avilape01_NPB_73075150_KBO_,,73075150.0,,2025,1,CL,YAKULT,3,2,0,2,0.0,0,0.0,27,6,0,5,0.0,8,6.0,5.0,5.0,38.0,0,0,0,1,0,0
1869,MLB_baileco01_NPB_105081_KBO_,,105081.0,,2003,1,CL,YOMIURI,4,30,1,0,0.0,0,0.0,107,41,4,17,0.0,32,20.0,19.0,4.794392523,162.0,1,0,0,1,0,0
1965,MLB_bakersc01_NPB__KBO_98423,,,98423.0,1998,1,KBO,Samsung,2,26,15,7,4.0,0,0.0,516,172,15,78,3.0,87,82.0,79.0,4.13,740.0,0.682,0,0,0,0,1
1989,MLB_balazjo02_NPB__KBO_54243,,,54243.0,2024,1,KBO,Doosan,2,12,2,6,0.0,0,0.0,171,54,3,28,2.0,69,29.0,27.0,4.26,250.0,0.25,0,0,0,0,1
1991,MLB_baldoal01_NPB_23225157_KBO_,,23225157.0,,2023,1,CL,YOMIURI,2,21,2,1,0.0,0,0.0,63,15,2,10,0.0,21,5.0,4.0,1.714285714,87.0,0.667,0,0,1,0,0
1992,MLB_baldoal01_NPB_23225157_KBO_,,23225157.0,,2024,1,CL,YOMIURI,2,58,2,3,0.0,0,9.0,154,40,1,28,0.0,63,15.0,14.0,2.454545455,220.0,0.4,0,0,1,0,0
1993,MLB_baldoal01_NPB_23225157_KBO_,,23225157.0,,2025,1,CL,YOMIURI,2,2,0,0,0.0,0,0.0,3,2,0,2,0.0,0,1.0,1.0,9.0,8.0,,0,0,1,0,0
2049,MLB_balejo01_NPB_105186_KBO_,,105186.0,,2004,1,CL,HIROSHIMA,3,25,11,10,1.0,0,0.0,481,165,16,62,8.0,173,86.0,75.0,4.20997921,702.0,0.524,0,0,1,0,0
2050,MLB_balejo01_NPB_105186_KBO_,,105186.0,,2005,1,CL,HIROSHIMA,3,51,2,1,0.0,0,24.0,161,44,9,16,5.0,72,24.0,19.0,3.186335404,227.0,0.667,0,0,1,0,0
2051,MLB_balejo01_NPB_105186_KBO_,,105186.0,,2006,1,CL,HIROSHIMA,3,30,1,2,0.0,0,6.0,129,45,5,11,0.0,46,16.0,14.0,2.930232558,183.0,0.333,0,0,1,0,0
2055,MLB_balejo01_NPB_105186_KBO_,,105186.0,,2010,1,CL,HIROSHIMA,5,30,0,3,0.0,0,1.0,80,29,3,15,3.0,21,23.0,21.0,7.0875,124.0,0,0,0,1,0,0
2062,MLB_balesco01_NPB__KBO_66440,,,66440.0,2016,1,KBO,Samsung,4,3,0,3,0.0,0,0.0,39,20,1,12,0.0,5,14.0,11.0,8.03,66.0,0,0,0,0,0,1
2089,MLB_balleja01_NPB_104248_KBO_,,104248.0,,1994,1,PL,ORIX,4,17,0,0,0.0,0,0.0,91,32,4,8,4.0,26,14.0,14.0,4.153846154,132.0,,0,0,0,1,0
2150,MLB_bankswi01_NPB_104678_KBO_,,104678.0,,1999,1,PL,ORIX,5,13,3,3,0.0,0,1.0,89,27,3,21,0.0,26,16.0,13.0,3.943820225,135.0,0.5,0,0,0,1,0
2171,MLB_bannifl01_NPB_103930_KBO_,,103930.0,,1990,1,CL,YAKULT,3,9,3,2,0.0,0,0.0,147,52,7,22,3.0,31,25.0,22.0,4.040816327,222.0,0.6,0,0,1,0,0
2191,MLB_barbajo01_NPB_106751_KBO_,,106751.0,,2019,1,PL,NIPPON-HAM,4,15,2,2,0.0,0,0.0,96,35,5,21,1.0,22,23.0,20.0,5.625,147.0,0.5,0,0,0,1,0
2305,MLB_barnech01_NPB__KBO_52528,,,52528.0,2022,1,KBO,Lotte,2,31,12,12,0.0,0,0.0,561,176,8,47,18.0,160,87.0,75.0,3.62,788.0,0.5,0,0,0,0,1
2306,MLB_barnech01_NPB__KBO_52528,,,52528.0,2023,1,KBO,Lotte,2,30,11,10,0.0,0,0.0,513,171,6,56,15.0,147,68.0,62.0,3.28,734.0,0.524,0,0,0,0,1
2307,MLB_barnech01_NPB__KBO_52528,,,52528.0,2024,1,KBO,Lotte,2,25,9,6,0.0,0,0.0,457,140,18,46,5.0,171,59.0,56.0,3.35,624.0,0.6,0,0,0,0,1
2308,MLB_barnech01_NPB__KBO_52528,,,52528.0,2025,1,KBO,Lotte,2,8,3,4,0.0,0,0.0,142,47,4,17,2.0,38,31.0,27.0,5.32,204.0,0.429,0,0,0,0,1
2367,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2010,1,CL,YAKULT,1,16,4,5,0.0,0,0.0,239,99,9,41,4.0,70,55.0,53.0,5.987447699,376.0,0.444,0,0,1,0,0
2368,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2011,1,CL,YAKULT,1,48,1,1,0.0,0,2.0,141,43,2,13,4.0,54,14.0,14.0,2.680851064,199.0,0.5,0,0,1,0,0
2369,MLB_barneto01_NPB_105768_KBO_,,105768.0,,2012,1,CL,YAKULT,1,57,1,2,0.0,0,33.0,163,44,4,11,2.0,52,15.0,11.0,1.82208589,213.0,0.333,0,0,1,0,0
